Negative Score,Neutral Score,News Org,Positive Score,Sentiment Score,Tweet,Tweet Date,Tweet Number
0.0,1.0,@BBCNews,0.0,0.0,Burning Man founder Larry Harvey dies aged 70 https://t.co/Jv2WKYDOdq,Sat Apr 28 22:23:35 +0000 2018,1
0.0,1.0,@BBCNews,0.0,0.0,The Papers: 'Farewell' Alfie Evans and Tory 'sex probe' https://t.co/rA7bdi0hYj,Sat Apr 28 22:05:08 +0000 2018,2
0.0,1.0,@BBCNews,0.0,0.0,Swansea City 0-1 Chelsea https://t.co/NOQjP3nO8e,Sat Apr 28 21:33:24 +0000 2018,3
0.391,0.533,@BBCNews,0.077,-0.743,Pamplona rape case: Protests over sentence go in to third day https://t.co/45nqgq1bpb,Sat Apr 28 21:19:32 +0000 2018,4
0.0,0.709,@BBCNews,0.291,0.6249,Great Britain return to elite level after victory over Hungary https://t.co/a7aPsdw0Ag,Sat Apr 28 20:30:24 +0000 2018,5
0.0,1.0,@BBCNews,0.0,0.0,Saudi Arabia 'sorry' for promotional footage of women wrestlers https://t.co/XDP9OTtvnK,Sat Apr 28 19:36:47 +0000 2018,6
0.0,0.682,@BBCNews,0.318,0.4215,Newcastle United 0-1 West Bromwich Albion https://t.co/tBqfqKDh14,Sat Apr 28 16:58:05 +0000 2018,7
0.0,0.734,@BBCNews,0.266,0.4404,Alfie Evans: Supporters release balloons to remember toddler https://t.co/9lY4dTFEBA,Sat Apr 28 16:41:37 +0000 2018,8
0.0,1.0,@BBCNews,0.0,0.0,Southampton 2-1 Bournemouth https://t.co/yYHnQyOScg,Sat Apr 28 16:09:45 +0000 2018,9
0.0,0.763,@BBCNews,0.237,0.4215,Rescued bald eagle released into the wild in Canada https://t.co/mx3KisB9fx,Sat Apr 28 15:52:23 +0000 2018,10
0.086,0.724,@BBCNews,0.191,0.3818,Ronnie O'Sullivan &amp; Ali Carter appear to collide at Snooker World Championship https://t.co/VQRzkRIrmM,Sat Apr 28 15:30:15 +0000 2018,11
0.0,1.0,@BBCNews,0.0,0.0,"RT @bbcrugbyunion: London Irish have been relegated from the Premiership.

https://t.co/hjqg2DgTDq https://t.co/7uXIjV4zfI",Sat Apr 28 15:13:16 +0000 2018,12
0.21,0.455,@BBCNews,0.335,0.296,Healthy Tasmanian devils discovered by scientists looking to save species https://t.co/1cUIRAY3m4,Sat Apr 28 15:00:01 +0000 2018,13
0.0,0.856,@BBCNews,0.144,0.5707,RT @BBCSteveR: Coming soon: I'm back at the piano with your #Eurovision requests! Tell me your favourite Eurovision winning song &amp; I'll pla…,Sat Apr 28 14:58:37 +0000 2018,14
0.213,0.662,@BBCNews,0.125,-0.296,Sumo wrestling: The growing sexism scandal in Japan's traditional sport https://t.co/r7skZotrMt,Sat Apr 28 14:57:18 +0000 2018,15
0.0,1.0,@BBCNews,0.0,0.0,"Sebastian Vettel on pole on Azerbaijan, Lewis Hamilton second https://t.co/6lKdor4ZIQ",Sat Apr 28 14:20:31 +0000 2018,16
0.0,1.0,@BBCNews,0.0,0.0,Liverpool 0-0 Stoke City https://t.co/UtEdaT8jE5,Sat Apr 28 13:58:33 +0000 2018,17
0.0,0.792,@BBCNews,0.208,0.2732,16-year-old creates art from used lottery scratch cards https://t.co/8lc9cdgJES,Sat Apr 28 13:36:22 +0000 2018,18
0.3,0.7,@BBCNews,0.0,-0.4588,Hemel Hempstead autopilot seat switch driver banned https://t.co/AiikfY2Ymb,Sat Apr 28 13:24:44 +0000 2018,19
0.0,1.0,@BBCNews,0.0,0.0,Sainsbury's and Asda in merger talks https://t.co/jn0DK03DnG,Sat Apr 28 12:51:45 +0000 2018,20
0.0,0.942,@BBCNews,0.058,0.0258,RT @BBCBreaking: British supermarket chains Sainsbury's and Asda in merger talks - although both brands expected to be retained https://t.c…,Sat Apr 28 12:50:54 +0000 2018,21
0.0,0.75,@BBCNews,0.25,0.4588,World Snooker Championship 2018: Barry Hawkins beats Lyu Haotian to reach last eight https://t.co/jqEol3VNnn,Sat Apr 28 12:20:54 +0000 2018,22
0.141,0.519,@BBCNews,0.34,0.5346,Korea summit: When war ends but peace is out of reach https://t.co/5aJp31fwsV,Sat Apr 28 12:04:21 +0000 2018,23
0.293,0.526,@BBCNews,0.18,-0.3612,Play as a refugee in Syrian war video game https://t.co/kuauYA34fS,Sat Apr 28 11:58:57 +0000 2018,24
0.362,0.638,@BBCNews,0.0,-0.5267,Police officer 'sexually assaulted' by man https://t.co/KWnknFzcpt,Sat Apr 28 11:40:11 +0000 2018,25
0.146,0.854,@BBCNews,0.0,-0.0516,Will laundrette exhibition leave you in a spin? https://t.co/00zTMQhHgp,Sat Apr 28 11:31:38 +0000 2018,26
0.0,1.0,@BBCNews,0.0,0.0,Trump-Macron-Merkel body language analysed https://t.co/J0CbavU93d,Sat Apr 28 11:20:33 +0000 2018,27
